beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,"['https://www.semanticscholar.org/author/A.-Pal/3422676', 'https://www.semanticscholar.org/author/Alexander-Lerchner/2289726', 'https://www.semanticscholar.org/author/Christopher-P.-Burgess/145463968', 'https://www.semanticscholar.org/author/I.-Higgins/39051054', 'https://www.semanticscholar.org/author/M.-Botvinick/46378362', 'https://www.semanticscholar.org/author/L.-Matthey/2367480', 'https://www.semanticscholar.org/author/Xavier-Glorot/3119801', 'https://www.semanticscholar.org/author/S.-Mohamed/14594344']","[{'Publications': '7', 'h-index': '7', 'Citations': '3,082', 'Highly Influential Citations': '456'}, {'Publications': '29', 'h-index': '17', 'Citations': '3,857', 'Highly Influential Citations': '554'}, {'Publications': '19', 'h-index': '13', 'Citations': '3,471', 'Highly Influential Citations': '516'}, {'Publications': '29', 'h-index': '14', 'Citations': '3,652', 'Highly Influential Citations': '518'}, {'Publications': '220', 'h-index': '75', 'Citations': '43,619', 'Highly Influential Citations': '3,685'}, {'Publications': '28', 'h-index': '18', 'Citations': '3,978', 'Highly Influential Citations': '550'}, {'Publications': '28', 'h-index': '16', 'Citations': '25,294', 'Highly Influential Citations': '1,748'}, {'Publications': '60', 'h-index': '33', 'Citations': '12,836', 'Highly Influential Citations': '1,643'}]"
Soft Weight-Sharing for Neural Network Compression,"['https://www.semanticscholar.org/author/M.-Welling/1678311', 'https://www.semanticscholar.org/author/Karen-Ullrich/39677614', 'https://www.semanticscholar.org/author/E.-Meeds/2848132']","[{'Publications': '342', 'h-index': '70', 'Citations': '46,201', 'Highly Influential Citations': '8,885'}, {'Publications': '12', 'h-index': '7', 'Citations': '746', 'Highly Influential Citations': '95'}, {'Publications': '25', 'h-index': '11', 'Citations': '891', 'Highly Influential Citations': '90'}]"
Support Regularized Sparse Coding and Its Fast Encoder,"['https://www.semanticscholar.org/author/Thomas-S.-Huang/153652752', 'https://www.semanticscholar.org/author/Jianchao-Yang/1706007', 'https://www.semanticscholar.org/author/Jiahui-Yu/150167366', 'https://www.semanticscholar.org/author/P.-Kohli/143967473', 'https://www.semanticscholar.org/author/Yingzhen-Yang/2680237']","[{'Publications': '1,348', 'h-index': '140', 'Citations': '90,991', 'Highly Influential Citations': '6,791'}, {'Publications': '160', 'h-index': '51', 'Citations': '21,207', 'Highly Influential Citations': '2,720'}, {'Publications': '48', 'h-index': '18', 'Citations': '3,704', 'Highly Influential Citations': '577'}, {'Publications': '334', 'h-index': '85', 'Citations': '31,405', 'Highly Influential Citations': '3,551'}, {'Publications': '62', 'h-index': '12', 'Citations': '712', 'Highly Influential Citations': '41'}]"
Stochastic Neural Networks for Hierarchical Reinforcement Learning,"['https://www.semanticscholar.org/author/Carlos-Florensa/10104623', 'https://www.semanticscholar.org/author/Yan-Duan/144581158', 'https://www.semanticscholar.org/author/P.-Abbeel/1689992']","[{'Publications': '11', 'h-index': '8', 'Citations': '806', 'Highly Influential Citations': '70'}, {'Publications': '34', 'h-index': '22', 'Citations': '8,216', 'Highly Influential Citations': '956'}, {'Publications': '492', 'h-index': '113', 'Citations': '57,288', 'Highly Influential Citations': '7,147'}]"
Combining policy gradient and Q-learning,"[""https://www.semanticscholar.org/author/Brendan-O'Donoghue/1389654226"", 'https://www.semanticscholar.org/author/K.-Kavukcuoglu/2645384', 'https://www.semanticscholar.org/author/R.-Munos/1708654', 'https://www.semanticscholar.org/author/V.-Mnih/3255983']","[{'Publications': '37', 'h-index': '17', 'Citations': '3,628', 'Highly Influential Citations': '402'}, {'Publications': '93', 'h-index': '62', 'Citations': '78,918', 'Highly Influential Citations': '9,847'}, {'Publications': '238', 'h-index': '70', 'Citations': '17,245', 'Highly Influential Citations': '2,440'}, {'Publications': '39', 'h-index': '29', 'Citations': '31,401', 'Highly Influential Citations': '4,740'}]"
Recurrent Environment Simulators,"['https://www.semanticscholar.org/author/Daan-Wierstra/1688276', 'https://www.semanticscholar.org/author/S%C3%A9bastien-Racani%C3%A8re/2026995', 'https://www.semanticscholar.org/author/S.-Chiappa/48880818', 'https://www.semanticscholar.org/author/S.-Mohamed/14594344']","[{'Publications': '61', 'h-index': '42', 'Citations': '42,141', 'Highly Influential Citations': '7,035'}, {'Publications': '33', 'h-index': '17', 'Citations': '1,455', 'Highly Influential Citations': '132'}, {'Publications': '45', 'h-index': '15', 'Citations': '1,022', 'Highly Influential Citations': '64'}, {'Publications': '60', 'h-index': '33', 'Citations': '12,836', 'Highly Influential Citations': '1,643'}]"
Multi-Agent Cooperation and the Emergence of (Natural) Language,"['https://www.semanticscholar.org/author/A.-Lazaridou/2672644', 'https://www.semanticscholar.org/author/Marco-Baroni/145283199', 'https://www.semanticscholar.org/author/A.-Peysakhovich/1970752']","[{'Publications': '72', 'h-index': '24', 'Citations': '2,573', 'Highly Influential Citations': '271'}, {'Publications': '217', 'h-index': '53', 'Citations': '13,947', 'Highly Influential Citations': '1,679'}, {'Publications': '57', 'h-index': '19', 'Citations': '2,596', 'Highly Influential Citations': '195'}]"
Sigma Delta Quantized Networks,"['https://www.semanticscholar.org/author/M.-Welling/1678311', ""https://www.semanticscholar.org/author/Peter-O'Connor/1449433441""]","[{'Publications': '342', 'h-index': '70', 'Citations': '46,202', 'Highly Influential Citations': '8,886'}, {'Publications': '13', 'h-index': '7', 'Citations': '513', 'Highly Influential Citations': '33'}]"
Semi-supervised deep learning by metric embedding,"['https://www.semanticscholar.org/author/E.-Hoffer/40555034', 'https://www.semanticscholar.org/author/Nir-Ailon/2048494']","[{'Publications': '27', 'h-index': '15', 'Citations': '2,465', 'Highly Influential Citations': '280'}, {'Publications': '94', 'h-index': '30', 'Citations': '4,635', 'Highly Influential Citations': '447'}]"
Adversarial Feature Learning,"['https://www.semanticscholar.org/author/Trevor-Darrell/1753210', 'https://www.semanticscholar.org/author/Philipp-Kr%C3%A4henb%C3%BChl/2562966', 'https://www.semanticscholar.org/author/Jeff-Donahue/7408951']","[{'Publications': '594', 'h-index': '129', 'Citations': '124,882', 'Highly Influential Citations': '14,764'}, {'Publications': '50', 'h-index': '32', 'Citations': '13,196', 'Highly Influential Citations': '2,084'}, {'Publications': '50', 'h-index': '30', 'Citations': '47,765', 'Highly Influential Citations': '6,053'}]"
