institution,csranking
Carnegie Mellon University,1
Univ. of California - Berkeley,2
Stanford University,3
Univ. of California - San Diego,3
Cornell University,5
Tsinghua University,5
Univ. of Illinois at Urbana-Champaign,5
University of Washington,5
ETH Zurich,9
Massachusetts Institute of Technology,9
Georgia Institute of Technology,11
University of Maryland - College Park,11
University of Michigan,11
Peking University,14
EPFL,15
Max Planck Society,15
National University of Singapore,15
Northeastern University,15
University of Massachusetts Amherst,15
University of Pennsylvania,15
University of Wisconsin - Madison,15
Duke University,22
KAIST,22
New York University,22
Purdue University,22
Rutgers University,22
Technion,22
University of Southern California,22
University of Texas at Austin,22
University of Toronto,22
Chinese Academy of Sciences,31
Chinese University of Hong Kong,31
Columbia University,31
HKUST,31
Imperial College London,31
Nanyang Technological University,31
Pennsylvania State University,31
Stony Brook University,31
Tel Aviv University,31
Univ. of California - Irvine,31
Univ. of California - Los Angeles,31
University College London,31
University of Edinburgh,31
University of Oxford,31
University of Waterloo,31
Harvard University,46
Johns Hopkins University,46
Nanjing University,46
Northwestern University,46
Princeton University,46
Seoul National University,46
Shanghai Jiao Tong University,46
Simon Fraser University,46
TU Darmstadt,46
TU Munich,46
Texas A&M University,46
Univ. of California - Santa Barbara,46
Univ. of California - Santa Cruz,46
University of Chicago,46
University of Illinois at Chicago,46
University of Melbourne,46
University of Minnesota,46
University of Sydney,46
University of Tokyo,46
University of Virginia,46
Zhejiang University,46
Arizona State University,67
Bar-Ilan University,67
Boston University,67
Fudan University,67
Hebrew University of Jerusalem,67
Indiana University,67
Ohio State University,67
Oregon State University,67
Renmin University of China,67
Saarland University,67
Singapore Management University,67
Univ. of California - Riverside,67
University at Buffalo,67
University of Adelaide,67
University of British Columbia,67
University of Cambridge,67
University of Central Florida,67
University of Colorado Boulder,67
University of Copenhagen,67
University of North Carolina,67
University of Pittsburgh,67
University of Technology Sydney,67
University of Utah,67
Virginia Tech,67
Yale University,67
Aarhus University,92
Australian National University,92
Beihang University,92
Brown University,92
CISPA Helmholtz Center,92
CRIStAL,92
California Institute of Technology,92
Czech Technical University,92
Ecole Normale Superieure,92
George Mason University,92
Graz University of Technology,92
Harbin Institute of Technology,92
IIT Kanpur,92
IST Austria,92
KAUST,92
McGill University,92
Michigan State University,92
Monash University,92
NWPU,92
National Taiwan University,92
North Carolina State University,92
POSTECH,92
RWTH Aachen,92
Rice University,92
SUTD,92
Sapienza University of Rome,92
Stevens Institute of Technology,92
TTI Chicago,92
TU Berlin,92
TU Delft,92
TU Wien,92
The Hong Kong Polytechnic University,92
UESTC,92
UNSW,92
USTC,92
Univ. of California - Davis,92
Univ. of California - Merced,92
Universidade de Lisboa,92
University of Alberta,92
University of Amsterdam,92
University of Birmingham,92
University of Bonn,92
University of Bremen,92
University of Bristol,92
University of Freiburg,92
University of Hong Kong,92
University of Liverpool,92
University of Montreal,92
University of Rochester,92
University of Stuttgart,92
University of Texas at Dallas,92
University of Tsukuba,92
University of Tübingen,92
University of Warsaw,92
University of Warwick,92
Washington University in St. Louis,92
Weizmann Institute of Science,92
AUEB,149
Aalborg University,149
Aalto University,149
Bauhaus University Weimar,149
Ben-Gurion University of the Negev,149
Binghamton University,149
Birkbeck University of London,149
Boston College,149
Bundeswehr University Munich,149
CUNY,149
CWI,149
Cardiff University,149
Carleton University,149
Chalmers/GU,149
City University of Hong Kong,149
Clemson University,149
Colorado School of Mines,149
Dartmouth College,149
EURECOM,149
Ecole Normale Superieure de Lyon,149
Emory University,149
Florida State University,149
Friedrich Schiller University Jena,149
Georgetown University,149
Goethe University Frankfurt,149
Hanyang University,149
Hasso Plattner Institute,149
Heidelberg University,149
Heriot-Watt University,149
