institution,ranking
Technical University of Darmstadt,289
La Trobe University,289
University of Oulu,291
Syracuse University,292
University of Stuttgart,292
Brighton and Sussex Medical School,292
University of Delaware,295
Heriot-Watt University,296
Stellenbosch University,297
"National University of Ireland, Galway",298
Tokyo Institute of Technology,299
Sun Yat-sen University,299
University of New Mexico (Main campus),301
Indian Institute of Science,301
Anglia Ruskin University ARU,301
Stony Brook University,304
Goethe University Frankfurt,305
University of Fribourg,305
University of Trento,307
University of Macau,307
Johannes Gutenberg University of Mainz,307
North Carolina State University,310
Temple University,311
University of Newcastle,311
United Arab Emirates University,313
Swedish University of Agricultural Sciences,313
Nova Southeastern University,313
Huazhong University of Science and Technology,313
Southern University of Science and Technology (SUSTech),317
Nagoya University,317
University of Texas at Dallas,319
University of Tartu,319
Kyung Hee University,319
University of Klagenfurt,319
Maynooth University,323
University of Marburg,323
University of Malaya,323
Boston College,323
Tulane University,327
Cyprus University of Technology,328
University of Liège,329
Grenoble Alpes University,329
Aix-Marseille University,329
The University of Tennessee-Knoxville,332
Reykjavík University,332
Deakin University,332
Jacobs University,335
Rush University,336
University of Milan,336
University of Canterbury,336
Beijing Normal University,339
Umeå University,340
University College Cork,341
Università della Svizzera Italiana,341
Osaka University,343
Colorado School of Mines,343
University of Tasmania,345
Montpellier University,345
Polytechnic University of Milan,347
Victoria University,348
Indian Institute of Technology Ropar,348
Wayne State University,350
University of Stirling,350
State University of New York Albany,350
University of Denver,350
Wuhan University,354
University of Turku,354
TU Dortmund University,354
"University of California, Merced",354
Washington State University,358
Université de Versailles Saint-Quentin-en-Yvelines,358
TU Wien,360
University of Bremen,360
Khalifa University,362
"Birkbeck, University of London",362
University of Kent,364
National Tsing Hua University,365
Taipei Medical University,366
University of Pisa,366
Nankai University,366
University of Iceland,366
"Goldsmiths, University of London",366
University of Salerno,371
University of Manitoba,372
Oregon State University,373
"University of Occupational and Environmental Health, Japan",374
Loughborough University,374
Hasselt University,374
University of Crete,374
Northumbria University,378
University of Florence,378
Brunel University London,378
University of Bayreuth,378
Babol Noshirvani University of Technology,378
University of Perugia,383
Jordan University of Science and Technology,383
Örebro University,385
Clark University,385
Australian Catholic University,385
American University of Beirut,385
Swinburne University of Technology,389
RMIT University,390
Justus Liebig University Giessen,390
Catholic University of Portugal,390
IMT Atlantique,393
Hanyang University,393
University of Connecticut,393
University of Alaska Fairbanks,396
University of Naples Federico II,397
Indian Institute of Technology Indore,397
Iowa State University,399
Hofstra University,399
University of Siena,401
University of the Philippines,401
University of KwaZulu-Natal,401
University of Georgia,401
University of Côte d’Azur,401
Universiti Brunei Darussalam,401
Qatar University,407
Linköping University,407
University of Kansas,409
University of Turin,410
Royal Veterinary College,410
Tokyo Medical and Dental University (TMDU),412
Technion Israel Institute of Technology,412
Cankaya University,412
University of Innsbruck,415
York University,416
University of Milan-Bicocca,416
University of Eastern Finland,416
UiT The Arctic University of Norway,419
University of Nebraska-Lincoln,419
University of Missouri-St Louis,419
"City, University of London",422
University of Peradeniya,423
Norwegian University of Science and Technology,424
University of Missouri-Columbia,424
Harbin Institute of Technology,424
Sabancı University,427
Georgia State University,427
American University,427
University of Strathclyde,430
Pontifical Javeriana University,430
Drexel University,430
University of Bordeaux,430
University of Alabama,430
University of St Gallen,435
Centrale Nantes,435
Aberystwyth University,435
University of South Carolina-Columbia,438
Rensselaer Polytechnic Institute,438
University of Desarrollo,438
Tongji University,441
Middlesex University,441
Indian Institute of Technology Delhi,441
Diego Portales University,441
University of Urbino Carlo Bo,445
Sciences Po,445
Hong Kong Baptist University,445
Central South University,448
University of Victoria,449
Quaid-i-Azam University,449
University of Cyprus,449
University of Trieste,452
University of Modena and Reggio Emilia,452
Aswan University,452
Semmelweis University,455
Polytechnic University of Bari,455
Liverpool John Moores University,455
University of Saskatchewan,458
University of Porto,458
SOAS University of London,460
Sejong University,460
Kyushu University,460
University of Genoa,460
Free University of Bozen-Bolzano,460
Federal University of Toulouse Midi-Pyrénées,460
University of Strasbourg,466
Fujita Health University,467
University of Tulsa,468
Hunan University,468
École des Mines de Saint-Étienne,468
Bangor University,468
University of Pavia,472
Murdoch University,472
Edith Cowan University,472
University of Bari Aldo Moro,475
Indian Institute of Technology Kharagpur,476
Gwangju Institute of Science and Technology,476
National Research Nuclear University MEPhI,478
University of Houston,478
University of Valencia,480
Oklahoma State University,480
ITMO University,480
Indian Institute of Technology Bombay,480
University of Ferrara,480
Mansoura University,485
Covenant University,485
Bond University,485
Hokkaido University,488
Bournemouth University,488
University of Portsmouth,490
University of Kentucky,490
"Colorado State University, Fort Collins",490
University of Tsukuba,493
New Mexico Institute of Mining and Technology,493
Yasouj University,495
Verona University,495
University of Texas at San Antonio,495
Teikyo University,495
Leibniz University Hannover,495
Charles University in Prague,495
Yokohama City University,501
South China University of Technology,501
Missouri University of Science and Technology,501
University of Catania,501
Shenzhen University,505
University of Campinas,505
Keele University,507
Florida International University,507
University of Rovira i Virgili,509
Northern Arizona University,509
Louisiana State University,509
Koç University,509
University of Plymouth,513
University of Greifswald,513
Bar-Ilan University,513
Victoria University of Wellington,516
National and Kapodistrian University of Athens,516
University of Jyväskylä,516
University of Neuchâtel,519
King Saud University,519
Catholic University of the Sacred Heart,519
National Taiwan University of Science and Technology (Taiwan Tech),522
Aston University,522
University of L’Aquila,522
University of the West of Scotland,525
Suez Canal University,525
Universidad Peruana Cayetano Heredia,525
Norwegian University of Life Sciences,525
National Yang-Ming University,525
University of Ibadan,530
Complutense University of Madrid,530
Renmin University of China,532
Claude Bernard University Lyon 1,532
CentraleSupélec,534
University of Udine,535
King Saud bin Abdulaziz University for Health Sciences,535
Carleton University,535
University of Lisbon,538
Université Bourgogne Franche-Comté (UBFC),538
University of Rome II – Tor Vergata,540
Indian Institute of Technology Roorkee,540
University of Hull,542
Graz University of Technology,542
University of Insubria,544
University of Haifa,544
East China Normal University,544
Peter the Great St Petersburg Polytechnic University,547
University of Wisconsin-Milwaukee,548
Soochow University,548
Polytechnic University of Turin,548
Bilkent University,548
University of Limerick,552
University of Idaho,552
Hamburg University of Technology,552
Xi’an Jiaotong University,555
Tianjin University,555
Memorial University of Newfoundland,557
San Diego State University,558
North-West University,558
Mashhad University of Medical Sciences,558
Lappeenranta-Lahti University of Technology LUT,558
Hacettepe University,558
University of Guelph,558
University of Waikato,564
Sharif University of Technology,564
University of Rome III,564
New Jersey Institute of Technology,564
National Chiao Tung University,564
Amirkabir University of Technology,564
Southeast University,570
University of Siegen,570
Pontifical Catholic University of Chile,570
University of Kashan,570
Tomsk State University,574
"Binghamton University, State University of New York",574
The University of the West Indies,576
Lincoln University,576
King Fahd University of Petroleum and Minerals,576
Xiamen University,579
University of Wuppertal,579
Institute of Chemical Technology,579
Charles Darwin University,579
University of Alabama in Huntsville,579
University of Rhode Island,584
University of Nebraska Medical Center,584
Indian Institute of Technology Gandhinagar,584
University of Graz,584
"China Medical University, Taiwan",584
Universiti Tunku Abdul Rahman (UTAR),589
Tehran University of Medical Sciences,589
Novosibirsk State University,589
Kansai Medical University,592
Universidad Autónoma de Chile,592
Open University of Catalonia,594
The Open University,594
Marche Polytechnic University,594
Chung-Ang University,594
Beihang University,594
Massey University,599
University of Brescia,599
West Virginia University,601
University of Kaiserslautern,601
Dublin City University,601
University of Coimbra,601
University of Windsor,605
University of the Western Cape,605
Stevens Institute of Technology,605
Makerere University,605
University of Central Florida,609
Jagiellonian University,610
Concordia University,610
University of Ulsan,612
Polytechnic University of Catalonia,612
NOVA University of Lisbon,612
Montana State University,612
University of Costa Rica,612
University of Parma,617
University of Lincoln,617
Iran University of Science and Technology,617
University of Southern Queensland,620
Mahidol University,620
Johannes Kepler University of Linz,620
Baylor University,620
University of Lorraine,624
University of Salento,625
National Institute of Applied Sciences of Lyon (INSA Lyon),625
National Cheng Kung University (NCKU),627
Worcester Polytechnic Institute,628
University of Nantes,628
Konkuk University,628
University of Electronic Science and Technology of China,628
Aristotle University of Thessaloniki,628
Lehigh University,633
"Indian Institute of Science Education and Research, Pune",633
Texas Tech University,635
Mae Fah Luang University,635
University of La Laguna,635
Amedeo Avogadro University of Eastern Piedmont,635
Université de Sherbrooke,639
Northwestern Polytechnical University,639
Oxford Brookes University,641
Indian Institute of Technology Madras,641
University of Bergamo,641
Nanjing University of Information Science and Technology,644
École normale supérieure Paris-Saclay,644
University of Palermo,646
Kent State University,646
Ferhat Abbas Sétif University 1,646
China Agricultural University,646
University of Calabria,646
University of Toledo,651
Savitribai Phule Pune University,651
National Taiwan Normal University,651
University of Girona,651
Auburn University,651
Metropolitan Autonomous University,656
Federal University of Minas Gerais,656
Shandong University,658
Nottingham Trent University,658
Indian Institute of Technology Kanpur,660
Southern Cross University,661
Saint Petersburg State University,661
"University of Maryland, Baltimore County",661
Ewha Womans University,661
Beijing Institute of Technology,661
Amrita Vishwa Vidyapeetham,666
Manchester Metropolitan University,667
University of Lille,667
Iran University of Medical Sciences,667
University of Johannesburg,670
University of Huddersfield,670
Nanjing Medical University,672
Boğaziçi University,672
Universiti Teknologi Malaysia,674
Roskilde University,674
Université du Québec,674
University of Tehran,677
Federal University of Rio Grande do Sul,677
University of the Balearic Islands,677
University of the Sunshine Coast,680
Kazan Federal University,680
University of Granada,680
University of Aveiro,680
TU Braunschweig,684
Universiti Teknologi Petronas,684
Imam Khomeini International University,684
Panthéon-Sorbonne University – Paris 1,687
COMSATS University Islamabad,687
University of Tours,689
Tokyo Metropolitan University,689
Kansas State University,689
King Khalid University,692
Keio University,692
Creighton University,694
Sichuan University,695
University of Ioannina,695
IDC Herzliya,695
University of Delhi,695
Chemnitz University of Technology,695
Panjab University,700
University of Pretoria,701
Federal University of Santa Catarina,701
University of Clermont Auvergne,701
Åbo Akademi University,701
Shahid Beheshti University of Medical Sciences,705
University of Rennes 1,705
Old Dominion University,705
University of Texas at Arlington,708
Ca’ Foscari University of Venice,708
Thapar University,710
"University of Nevada, Las Vegas",710
Federal University of São Paulo (UNIFESP),710
University of South Dakota,713
Universiti Putra Malaysia,713
Palacký University Olomouc,713
Kafrelsheikh University,713
Isfahan University of Technology,713
Indian Institute of Technology Hyderabad,713
Eötvös Loránd University,713
University of Warsaw,720
De Montfort University,720
New Mexico State University (Main campus),722
Masaryk University,722
Universiti Kebangsaan Malaysia,724
Jaume I University,724
Glasgow Caledonian University,724
Clemson University,724
Universiti Sains Malaysia,728
Dalian University of Technology,728
"China University of Petroleum, Beijing",728
Ulster University,731
Tomsk Polytechnic University,732
National University of Science and Technology (MISiS),732
Banaras Hindu University,732
Monterrey Institute of Technology,735
Universiti Malaysia Perlis,735
University of Lleida,735
Tabriz University of Medical Sciences,738
Ryerson University,739
Ohio University (Main campus),739
Miguel Hernández University of Elche,739
Indian Institute of Technology Guwahati,739
University of the Basque Country,739
University of the West of England,744
University of Santiago de Compostela,744
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),744
University of Sassari,747
Lakehead University,747
Coventry University,747
University of Beira Interior,747
Kindai University,751
"University of the Andes, Colombia",751
Shiraz University of Technology,753
University of Oviedo,753
Cairo University,753
University of Tabriz,756
University of Split,756
University of North Carolina at Greensboro,756
University of Ljubljana,756
Istanbul Technical University,756
Indian Institute of Technology Bhubaneswar,756
University of Thessaly,762
University of Sharjah,762
Central Queensland University,762
University of Arkansas,762
Western Washington University,766
University of Salamanca,766
National Autonomous University of Mexico,768
Kobe University,768
Beni-Suef University,768
University of Leoben,771
University of Greenwich,771
Nippon Medical School,773
École Centrale de Lyon,773
University of Brighton,773
University of Regina,776
National Technical University of Athens,776
