institution,ranking
National Research Nuclear University MEPhI,410
University of Cyprus,410
Louisiana State University,413
University of Naples Federico II,414
University of Montana,414
University of Rovira i Virgili,416
University of Jyväskylä,416
Swinburne University of Technology,418
Marche Polytechnic University,418
Western Sydney University,420
University of Plymouth,421
Murdoch University,421
University of St Gallen,423
National Taiwan University of Science and Technology (Taiwan Tech),423
Hamburg University of Technology,425
Bilkent University,426
Verona University,427
University of Turin,427
Reykjavík University,427
Hokkaido University,427
University of Tulsa,431
University of Siegen,431
Qatar University,431
University of Greifswald,434
University of Rome II – Tor Vergata,435
Hong Kong Baptist University,435
Claude Bernard University Lyon 1,435
University of Strathclyde,438
San Diego State University,438
"Binghamton University, State University of New York",438
University of Manitoba,441
University of Campinas,441
Saint Louis University,443
Graz University of Technology,443
University of Genoa,443
SOAS University of London,446
University of Bari Aldo Moro,446
Dublin City University,448
Maynooth University,449
University of KwaZulu-Natal,450
Charles University in Prague,450
National Chiao Tung University,452
Kazan Federal University,452
University of Kaiserslautern,452
CentraleSupélec,452
Bar-Ilan University,456
University of Urbino Carlo Bo,457
RMIT University,457
University of Missouri-Columbia,457
Hasselt University,457
Makerere University,461
University of Calabria,461
Norwegian University of Life Sciences,463
University of Modena and Reggio Emilia,463
"University of Maryland, Baltimore County",463
Hofstra University,463
UiT The Arctic University of Norway,467
University of Tsukuba,468
University of Saskatchewan,468
University of Lille,468
University of Bergamo,468
University of Graz,472
Auckland University of Technology,472
Saint Petersburg State University,474
Oxford Brookes University,474
The Open University,474
Novosibirsk State University,474
Tongji University,478
Tokyo Medical and Dental University (TMDU),478
Middlesex University,478
Jordan University of Science and Technology,481
Huazhong University of Science and Technology,481
Chung-Ang University,481
University of Brescia,481
University of Wisconsin-Milwaukee,485
University of Hull,485
Florida International University,487
University of Parma,488
University of Florence,489
Xiamen University,490
Southern Cross University,491
Semmelweis University,491
Quaid-i-Azam University,491
University of Neuchâtel,491
University of Nebraska Medical Center,491
University of Rome III,496
Roskilde University,497
Polytechnic University of Catalonia,497
Massey University,497
Boğaziçi University,497
University of Porto,501
University of Siena,501
United Arab Emirates University,503
University of Ioannina,503
American University of Beirut,503
Tomsk State University,506
Indian Institute of Technology Kharagpur,506
Central China Normal University,506
Panthéon-Sorbonne University – Paris 1,509
University of Lisbon,509
Edith Cowan University,509
Tampere University of Technology,512
Stevens Institute of Technology,512
Renmin University of China,512
Keele University,512
University of Ferrara,512
Central Queensland University,512
Liverpool John Moores University,518
Indian Institute of Technology Roorkee,519
Creighton University,519
Complutense University of Madrid,519
University of Portsmouth,522
Harbin Institute of Technology,522
NOVA University of Lisbon,524
Fujita Health University,524
Diego Portales University,524
University of Coimbra,524
Montana State University,528
Kent State University,529
Indian Institute of Technology Delhi,529
Ewha Womans University,529
University of Limerick,532
Lehigh University,533
University of the West of Scotland,534
Soochow University,535
University of Lorraine,535
Alfaisal University,535
Tianjin University,538
Université du Québec,538
National Cheng Kung University (NCKU),538
Missouri University of Science and Technology,538
Lincoln University,538
Johannes Kepler University of Linz,538
University of Aveiro,538
Université de Sherbrooke,545
New Jersey Institute of Technology,545
Carleton University,545
King Saud University,548
Australian Catholic University,548
University of Valencia,550
University of South Dakota,550
Pontifical Catholic University of Chile,550
National and Kapodistrian University of Athens,550
University of Nantes,550
University of Ulsan,555
University of Palermo,555
Memorial University of Newfoundland,555
Southeast University,558
University of Catania,558
Concordia University,560
Polytechnic University of Valencia,561
Ulster University,562
East China Normal University,562
Université Bourgogne Franche-Comté (UBFC),562
Xi’an Jiaotong University,565
"China Medical University, Taiwan",565
Blaise Pascal University,565
Athens University of Economics and Business,565
Shandong University,569
University of Sassari,570
ITMO University,570
University of Hertfordshire,570
Pontifical Javeriana University,573
National Taiwan Normal University,573
Federico Santa María Technical University,573
South China University of Technology,576
Catholic University of the Sacred Heart,577
Sejong University,578
Indian Institute of Technology Kanpur,578
Bond University,578
University of Warsaw,581
Universiti Tunku Abdul Rahman (UTAR),581
Lappeenranta-Lahti University of Technology LUT,581
Ca’ Foscari University of Venice,581
Masaryk University,585
University of Arkansas,585
University of Salento,587
University of Toledo,588
Northumbria University,588
King Fahd University of Petroleum and Minerals,588
University of Granada,588
University of the Sunshine Coast,592
Tokyo Metropolitan University,593
Oklahoma State University,593
Federal University of São Paulo (UNIFESP),593
Aristotle University of Thessaloniki,593
University of Split,597
Mahidol University,597
Texas Tech University,599
Konkuk University,599
"University of the Andes, Colombia",601
University of Texas at Arlington,601
Sharif University of Technology,603
École normale supérieure Paris-Saclay,603
New Mexico State University (Main campus),605
National Institute of Applied Sciences of Lyon (INSA Lyon),605
Beni-Suef University,605
National Yang-Ming University,608
Kansas State University,608
University of Haifa,608
University of Cagliari,608
Old Dominion University,612
University of Oviedo,613
Otto von Guericke University of Magdeburg,613
University of the Basque Country,613
Amirkabir University of Technology,613
Tezpur University,617
Taipei Medical University,617
China Agricultural University,617
University of La Laguna,620
École Centrale de Lyon,620
University of Pretoria,622
University of Minho,622
Hiroshima University,624
Indian Institute of Technology Madras,625
East China University of Science and Technology,625
University of Santiago de Compostela,627
Panjab University,627
Keio University,627
Ben-Gurion University of the Negev,627
Pusan National University,631
National Autonomous University of Mexico,631
Indian Institute of Technology Guwahati,633
Eastern Mediterranean University,633
University of Technology of Compiègne,635
Embry-Riddle Aeronautical University,635
University of Johannesburg,637
Bournemouth University,637
University of Beira Interior,637
University of Alcalá,637
Portland State University,641
University of Zaragoza,642
Waseda University,642
Baylor University,642
University of Maribor,645
Isfahan University of Technology,645
Huazhong Agricultural University,645
COMSATS University Islamabad,648
Istanbul Technical University,649
Atılım University,649
Iran University of Science and Technology,651
Auburn University,652
Monterrey Institute of Technology,653
Middle East Technical University,654
National Institute of Technology Rourkela,655
University of Greenwich,655
"China University of Geosciences, Beijing",655
Palacký University Olomouc,658
Beihang University,658
Nanjing Medical University,660
University of Chile,660
Sogang University,662
Jadavpur University,662
The University of Aizu,662
University of North Carolina at Greensboro,665
Sichuan University,666
Rochester Institute of Technology,666
Hunan University,668
Hacettepe University,669
Carlos III University of Madrid,669
University of Westminster,671
University of the Western Cape,671
Universiti Teknologi Malaysia,671
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),671
Nanjing Agricultural University,671
University of Ljubljana,671
Fuzhou University,671
Eötvös Loránd University,671
Dalian University of Technology,679
University of Brighton,679
University of Algarve,679
National Sun Yat-Sen University,682
University of Tehran,683
University of Salamanca,684
Glasgow Caledonian University,684
Samara State Aerospace University,686
University of Delhi,686
Chiba University,688
Beijing Institute of Technology,688
Peter the Great St Petersburg Polytechnic University,690
University of Texas at El Paso,691
Tehran University of Medical Sciences,691
Technical University of Madrid,691
University of the Aegean,691
University of Pécs,695
Northeast Normal University,695
King Mongkut’s University of Technology Thonburi,695
Jagiellonian University,695
Mississippi State University,699
Marquette University,699
Universiti Putra Malaysia,701
Kobe University,701
Chang Gung University,701
American University in Cairo,701
National University of Science and Technology (MISiS),705
Indian Institute of Technology (Indian School of Mines) Dhanbad,705
Universiti Teknologi Petronas,707
Vilnius University,708
University of Southern Queensland,709
University of Seville,709
Dublin Institute of Technology,709
Kanazawa University,712
Florida Atlantic University,712
Central South University,712
National Central University,715
Kingston University,715
Federal University of Rio de Janeiro,715
Federal University of Minas Gerais,715
University of Bradford,715
De Montfort University,720
University of the Philippines,721
Warsaw University of Technology,722
University of Huddersfield,722
University of Central Lancashire,722
University of Tabriz,725
Nottingham Trent University,725
University of South Wales,727
Babeş-Bolyai University,727
Northwestern Polytechnical University,729
Leeds Beckett University,729
Juntendo University,729
Federal University of ABC (UFABC),729
Aligarh Muslim University,729
University of Patras,734
ISCTE-University Institute of Lisbon,734
Tallinn University of Technology,736
University of Szeged,736
University of Regina,736
National University of Sciences and Technology,736
University of the West of England,740
University of Northern British Columbia (UNBC),740
Czech Technical University in Prague,740
Coventry University,740
Edinburgh Napier University,744
University Rey Juan Carlos,745
Tokyo University of Agriculture and Technology,746
Universiti Sains Malaysia,746
"China University of Geosciences, Wuhan",746
Yeungnam University,749
Teesside University,750
Nanjing Normal University,750
University of Jaén,750
Florida Institute of Technology,750
University of Dayton,750
Shantou University,755
Nanjing Tech University,755
Yokohama City University,757
Manchester Metropolitan University,757
University of Lincoln,757
Inha University,760
University of Salford,761
Kaohsiung Medical University,761
American University of Sharjah,761
Tokyo University of Science,764
University of Vigo,765
Suranaree University of Technology,765
University of Windsor,767
Pontifical Catholic University of Peru,767
Okayama University,767
São Paulo State University (UNESP),770
Nagoya City University,770
Jeonbuk National University,770
University of Murcia,773
Kagawa University,773
Federal University of Rio Grande do Sul,773
Kuwait University,776
Universiti Kebangsaan Malaysia,776
University of East London,776
Chonnam National University,776
Savitribai Phule Pune University,780
University of Roehampton,780
Kochi University,780
Federal University of Itajubá,780
Chulalongkorn University,780
"University of Chemistry and Technology, Prague",780
Comenius University in Bratislava,786
University of Bedfordshire,786
AGH University of Science and Technology,786
Gebze Technical University,789
Osaka City University,790
Kyungpook National University,790
Kumamoto University,792
Banaras Hindu University,793
University of Science and Technology Beijing,794
K.N. Toosi University of Technology,794
National Chengchi University,796
Capital Medical University,797
Shanghai University,798
University of Seoul,798
Universiti Tenaga Nasional (UNITEN),800
University of Sharjah,800
Izmir Institute of Technology,800
University of Ghana,800
Sri Venkateswara University,804
Pontifical Catholic University of Rio Grande do Sul (PUCRS),804
Brno University of Technology,804
Shiga University of Medical Science,807
University of Derby,807
"China University of Petroleum, Beijing",807
Budapest University of Technology and Economics,807
National Taiwan Ocean University,811
University of Antioquia,811
Northwest University,813
National Taipei University of Technology,813
Jikei University School of Medicine,813
Jamia Millia Islamia,813
Istanbul University,813
Bauman Moscow State Technical University,813
Sultan Qaboos University,819
Shiraz University,819
Ocean University of China,819
Yuan Ze University,822
National University of Tainan,822
Kansai Medical University,822
Feng Chia University,822
University of Alicante,822
Yokohama National University,827
Sheffield Hallam University,827
University of Indonesia,827
Federal University of Santa Catarina,827
Shahid Beheshti University,831
Kindai University,831
Xiangtan University,833
Suez Canal University,833
Jinan University,833
University of Cergy-Pontoise,833
University of Castilla-La Mancha,833
Austral University of Chile,833
Niigata University,839
"California Polytechnic State University, San Luis Obispo",839
"Asia University, Taiwan",839
Northeastern University,839
University of Wrocław,843
Tokushima University,843
Paris Nanterre University,843
University of Electronic Science and Technology of China,843
University of Concepción,843
Ajou University,843
Chongqing University,849
Shinshu University,850
Oakland University,850
The University of Electro-Communications,850
University of Calcutta,850
TOBB University of Economics and Technology,854
National Dong Hwa University,854
Marmara University,854
Federal University of Pelotas,854
Chung Yuan Christian University,854
Chiang Mai University,854
Cairo University,854
Beijing Jiaotong University,854
NorthWest A&F University,862
Technical University of Košice,863
Nagasaki University,863
Mansoura University,863
Fu Jen Catholic University,863
Ferdowsi University of Mashhad,863
University of Debrecen,863
University of Almería,863
Texas State University,870
Seoul National University of Science and Technology (SeoulTech),870
Saitama University,870
Del Rosario University,870
University of Brasília,870
"Birla Institute of Technology and Science, Pilani",870
Shaanxi Normal University,876
University of Yamanashi,877
West University of Timişoara,877
University of A Coruña,877
University of Southern Mississippi,880
Novosibirsk State Technical University,880
Nagoya Institute of Technology,880
Amrita Vishwa Vidyapeetham,880
University of Ostrava,884
Hosei University,884
Yamagata University,886
Toyohashi University of Technology (TUT),886
Robert Gordon University,886
University of Marrakech Cadi Ayyad,886
Czech University of Life Sciences Prague (CULS),886
Chungnam National University,886
Osmania University,892
"Adam Mickiewicz University, Poznań",892
University of Zagreb,894
Mohammed V University of Rabat,894
Pondicherry University,896
Gdańsk University of Technology,896
Alexandria University,896
Wuhan University of Technology,899
Osaka Prefecture University,899
Universitas Gadjah Mada,899
Pontifical Catholic University of Paraná,902
Hamamatsu University School of Medicine,902
Yıldız Technical University,904
University of Kerala,904
University of Isfahan,904
Federal University of São Carlos,904
Chuo University,904
Thapar University,909
Ehime University,909
National Taipei University,911
National Chung Cheng University,911
Kagoshima University,911
Erciyes University,911
Andrés Bello University (UNAB),911
University of Latvia,916
Xidian University,917
Kyushu Institute of Technology (Kyutech),917
Alexandru Ioan Cuza University,917
University of Nairobi,920
Mie University,920
Belarusian State University,920
VIT University,923
Tokyo University of Marine Science and Technology,923
Saga University,923
Pontifical Catholic University of Valparaíso,923
"University of Agriculture, Faisalabad",923
University of Toyama,928
University of Talca,928
Kitasato University,928
Jiangsu University,928
University of Guilan,928
China University of Mining and Technology,928
Metropolitan Autonomous University,934
Huaqiao University,934
University of Bucharest,936
Nagaoka University of Technology,937
Khon Kaen University,937
University of Jordan,937
Federal University of Ceará (UFC),937
Corvinus University of Budapest,941
University of Valparaíso,942
State University of Ponta Grossa,942
Nicolaus Copernicus University in Toruń,942
National Research Saratov State University,942
London South Bank University,942
Sophia University,947
University of Miyazaki,947
King Mongkut’s Institute of Technology Ladkrabang,947
I-Shou University,947
Gifu University,947
Akdeniz University,952
Saitama Medical University,953
Lobachevsky State University of Nizhni Novgorod,953
Iwate University,953
University of La Frontera,953
University of Costa Rica,953
Taras Shevchenko National University of Kyiv,958
Showa University,958
University of Ibadan,958
Federal University of Pernambuco,958
Catholic University of the North,958
Slovak University of Technology in Bratislava,963
Riga Technical University,963
Prince of Songkla University,963
Nara Medical University,963
VSB - Technical University of Ostrava,967
Tomas Bata University in Zlín,967
National University of Córdoba,967
University of Colombo,967
Bandung Institute of Technology (ITB),967
University of Silesia in Katowice,972
Southern Federal University,973
University of South Africa,973
University of Pardubice,973
Hallym University,973
Central University of Venezuela,973
Simón Bolívar University,978
Meiji University,978
Ain Shams University,978
Tokai University,981
South Valley University,982
Kyoto Institute of Technology,982
Andhra University,982
University of West Bohemia,985
University of Tlemcen,985
National University of Colombia,985
Assiut University,988
Yamaguchi University,989
Imam Abdulrahman Bin Faisal University,989
Grigore T. Popa University of Medicine and Pharmacy,989
Federal University of Rio Grande do Norte (UFRN),989
"University of Santiago, Chile (USACH)",993
Ritsumeikan University,993
Rio de Janeiro State University (UERJ),993
Cochin University of Science and Technology,993
Annamalai University,993
Shizuoka University,998
Kasetsart University,998
University of Tunis El Manar,1000
Shimane University,1000
Universiti Utara Malaysia,1002
University of Gdańsk,1002
Southwest Jiaotong University,1004
Federal University of Viçosa,1004
RUDN University,1006
Londrina State University,1006
IPB University,1006
Bahauddin Zakariya University,1006
Federal University of Lavras,1010
Ural Federal University,1011
Shanghai Maritime University,1011
Far Eastern Federal University,1011
Sofia University,1014
Sidi Mohamed Ben Abdellah University,1014
University of Dhaka,1016
University of Mysore,1017
University of Łódź,1017
Autonomous University of Yucatán,1017
University of Zanjan,1020
Tottori University,1020
"University of the Andes, Venezuela",1020
National University of Kaohsiung,1023
Unisinos University,1024
Lodz University of Technology,1024
King Mongkut's University of Technology North Bangkok,1024
Akita University,1024
V.N. Karazin Kharkiv National University,1028
Oita University,1028
Federal University of Ouro Preto,1028
Alzahra University,1028
Tokyo City University,1032
University of Peshawar,1032
University of Monastir,1032
University of Lahore,1032
University of Fukui,1032
Fluminense Federal University,1032
Ankara University,1038
Kanagawa University,1039
Federal University of Goiás,1039
PMAS Arid Agriculture University Rawalpindi,1041
National Polytechnic University (IPN),1041
University of Hyogo,1041
National Research University of Electronic Technology (MIET),1044
Gazi University,1044
Anadolu University,1046
Tamkang University,1047
SASTRA University,1047
Kansai University,1049
Dokuz Eylül University,1049
Amity University,1051
Technical University of Liberec,1052
Jawaharlal Nehru Technological University Anantapur (JNTUA),1052
Autonomous University of Puebla,1052
Yazd University,1055
Federal University of Santa Maria,1055
Utsunomiya University,1057
Tamil Nadu Agricultural University,1057
National Chiayi University,1057
Hashemite University,1057
Autonomous University of Nuevo León,1057
Ming Chuan University,1062
Manipal Academy of Higher Education,1062
Ibaraki University,1062
Kogakuin University,1065
Shibaura Institute of Technology Tokyo,1066
Meijo University,1066
Kaunas University of Technology,1066
Federal University of Paraná (UFPR),1066
Siberian Federal University,1070
Maharaja Sayajirao University of Baroda,1070
Guangxi University,1070
Autonomous University of the State of Mexico,1070
Sechenov University,1074
Toyo University,1075
State University of Maringá,1076
Ivane Javakhishvili Tbilisi State University,1076
"University of Veterinary and Animal Sciences, Lahore",1078
SRM Institute of Science and Technology,1078
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,1078
Kwansei Gakuin University,1078
Chaoyang University of Technology,1078
Yeditepe University,1083
Perm State University,1083
Voronezh State University,1085
Lviv Polytechnic National University,1086
Government College University Lahore,1086
GITAM University,1086
PSG College of Technology,1089
University of Guadalajara,1089
University of Birjand,1089
Autonomous University of Baja California,1089
"G.B. Pant University of Agriculture & Technology, Pantnagar",1093
Doshisha University,1093
Chiba Institute of Technology,1095
Ivan Franko National University of Lviv,1096
Western Paraná State University (Unioeste),1097
Ondokuz Mayis University,1097
Autonomous University of Hidalgo State (UAEH),1099
Volgograd State Technical University,1100
Sathyabama Institute of Science and Technology,1101
Tokyo Denki University,1102
