institution,ranking
Southern Cross University,539
University of Valencia,541
Indian Institute of Technology Kharagpur,541
Edith Cowan University,541
Oklahoma State University,544
Monterrey Institute of Technology,544
Lappeenranta-Lahti University of Technology LUT,544
Auckland University of Technology,544
"University of the Andes, Colombia",544
University of Wisconsin-Milwaukee,549
Bond University,549
National Autonomous University of Mexico,551
Tampere University of Technology,552
Sharif University of Technology,552
Pontifical Javeriana University,554
Roskilde University,555
Old Dominion University,555
East China University of Science and Technology,555
University of Warsaw,558
University of Siena,558
Memorial University of Newfoundland,558
Southeast University,561
University of Minho,562
University of Cagliari,562
Ben-Gurion University of the Negev,564
Missouri University of Science and Technology,565
University of Granada,565
Université de Sherbrooke,567
Kansas State University,567
Harbin Institute of Technology,567
University of Texas at Arlington,570
University of the Sunshine Coast,570
Carleton University,572
University of the Basque Country,572
University of Nebraska Medical Center,574
Iran University of Science and Technology,575
Tianjin University,576
Warsaw University of Technology,577
Sogang University,577
Istanbul Technical University,577
University of Paderborn,580
Sejong University,581
Middlesex University,581
Hiroshima University,581
University of Chile,581
Catholic University of the Sacred Heart,581
National Taiwan Normal University,586
Mahidol University,586
University of Zaragoza,588
Pusan National University,588
University of Urbino Carlo Bo,590
University of Toledo,590
China Agricultural University,592
Tomsk State University,593
Otto von Guericke University of Magdeburg,593
University of Arkansas,595
University of Regina,596
Athens University of Economics and Business,596
National Yang-Ming University,598
University of Maribor,598
Indian Institute of Technology Guwahati,600
Jadavpur University,600
Federal University of São Paulo (UNIFESP),602
Tata Institute of Fundamental Research,603
Keio University,603
École Centrale de Lyon,605
Clemson University,605
National Sun Yat-Sen University,607
Nanjing Medical University,607
Taipei Medical University,609
Middle East Technical University,609
Isfahan University of Technology,609
Czech Technical University in Prague,609
Yeungnam University,613
University of the Western Cape,613
South China University of Technology,613
Miami University,613
Masaryk University,613
Australian Catholic University,613
University of Santiago de Compostela,619
University of Pretoria,619
University of La Laguna,619
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),622
Quaid-i-Azam University,623
Palacký University Olomouc,624
Kanazawa University,625
Jagiellonian University,625
Northumbria University,627
Diego Portales University,627
Waseda University,629
Jordan University of Science and Technology,630
Chiba University,630
Carlos III University of Madrid,630
University of Haifa,633
Universiti Teknologi Malaysia,634
University of Greenwich,634
Florida Institute of Technology,634
Amirkabir University of Technology,634
Panjab University,638
University of Beira Interior,638
Tehran University of Medical Sciences,640
University of Oviedo,640
Bournemouth University,640
Auburn University,640
Tallinn University of Technology,644
Northeast Normal University,644
Glasgow Caledonian University,644
University of Delhi,644
De Montfort University,648
Osaka City University,649
Nanjing Agricultural University,649
"China University of Geosciences, Wuhan",649
University of Brighton,649
University of Salamanca,653
University of North Carolina at Greensboro,653
National Central University,653
King Mongkut’s University of Technology Thonburi,653
University of Jaén,653
Chang Gung University,653
Universiti Putra Malaysia,659
Alfaisal University,659
University of the West of England,661
Dalian University of Technology,661
Kobe University,663
Texas Tech University,664
COMSATS University Islamabad,664
Tezpur University,666
Kochi University,666
Eötvös Loránd University,668
University of the West of Scotland,669
Ehime University,669
Kingston University,671
University of Bradford,672
Vilnius University,673
University of Alcalá,673
Technical University of Madrid,675
University of Pécs,676
Manchester Metropolitan University,676
Tokyo University of Agriculture and Technology,678
Kumamoto University,678
Federal University of Minas Gerais,678
Beijing Institute of Technology,678
Babeş-Bolyai University,678
Sichuan University,683
University of Seville,683
Rochester Institute of Technology,685
Peter the Great St Petersburg Polytechnic University,685
University of Ljubljana,685
Juntendo University,685
Ohio University (Main campus),689
Nagoya City University,689
Konkuk University,689
ISCTE-University Institute of Lisbon,689
University of Szeged,693
Federal University of Rio de Janeiro,693
University of Southern Queensland,695
University of Salford,695
Hunan University,695
Universiti Sains Malaysia,698
Okayama University,698
Feng Chia University,700
University of Central Lancashire,700
Yokohama City University,702
National University of Sciences and Technology,702
Kuwait University,702
Inha University,702
University of Ghana,702
Coventry University,702
Nottingham Trent University,708
Hacettepe University,708
AGH University of Science and Technology,708
University of Patras,711
University of Westminster,712
Tokyo University of Science,712
Chulalongkorn University,712
Jilin University,715
Aligarh Muslim University,715
Universiti Teknologi Petronas,717
University of Huddersfield,717
Dublin Institute of Technology,717
Federal University of Rio Grande do Sul,720
University of Texas at El Paso,721
University of Castilla-La Mancha,721
University of Murcia,723
Kaohsiung Medical University,723
Brno University of Technology,723
University of Vigo,726
Teesside University,726
Northwestern Polytechnical University,726
University of Johannesburg,726
Budapest University of Technology and Economics,726
Savitribai Phule Pune University,731
University Rey Juan Carlos,731
Comenius University in Bratislava,731
Shantou University,734
Federal University of ABC (UFABC),734
Suez Canal University,736
University of Roehampton,736
Universiti Kebangsaan Malaysia,736
"China University of Petroleum, Beijing",736
University of Windsor,740
Chiang Mai University,740
Ajou University,742
Sultan Qaboos University,743
Chonnam National University,743
Pontifical Catholic University of Rio Grande do Sul (PUCRS),745
London Metropolitan University,745
University of Tehran,747
"University of Chemistry and Technology, Prague",747
Capital Medical University,747
"Birla Institute of Technology and Science, Pilani",747
American University in Cairo,747
Edinburgh Napier University,752
Jeonbuk National University,752
University of Science and Technology Beijing,754
Tokushima University,755
Nanjing Normal University,755
University of Lincoln,755
Hofstra University,755
University of Bedfordshire,755
American University of Sharjah,755
Shinshu University,761
Federal University of Santa Catarina,761
National Institute of Technology Rourkela,763
Leeds Beckett University,763
Sohag University,765
National Taiwan Ocean University,765
National Chung Hsing University,765
Kyungpook National University,765
Kindai University,765
Istanbul University,765
K.N. Toosi University of Technology,771
National Chung Cheng University,772
University of Calcutta,772
Toyohashi University of Technology (TUT),774
Yuan Ze University,775
Eastern Mediterranean University,775
University of Concepción,775
West University of Timişoara,778
Nagoya Institute of Technology,778
Bauman Moscow State Technical University,778
Northeastern University,778
São Paulo State University (UNESP),782
Jikei University School of Medicine,782
University of East London,782
Suranaree University of Technology,785
Shiraz University,785
Chung Yuan Christian University,785
"Asia University, Taiwan",785
Yamagata University,789
Sri Venkateswara University,790
Federal University of Paraná (UFPR),791
University of Yamanashi,792
Izmir Institute of Technology,793
TOBB University of Economics and Technology,793
Oakland University,793
Nagasaki University,793
University of Antioquia,797
Niigata University,798
University of La Frontera,798
Austral University of Chile,798
University of A Coruña,798
Nagaoka University of Technology,802
University of Belgrade,802
Sheffield Hallam University,804
Saitama University,804
National Research Saratov State University,804
Central South University,804
University of Toyama,808
National University of Science and Technology (MISiS),808
Jinan University,808
Xiangtan University,811
University of Southern Mississippi,811
Shanghai University,811
University of Debrecen,811
Yazd University,815
Gdańsk University of Technology,815
Erciyes University,815
Chongqing University,815
University of Cergy-Pontoise,815
Yokohama National University,820
Osaka Prefecture University,820
Khon Kaen University,820
University of Zagreb,823
Ocean University of China,823
University of Latvia,823
University of Seoul,826
Alexandria University,826
King Mongkut’s Institute of Technology Ladkrabang,828
Federal University of Lavras,828
Robert Gordon University,830
Prince of Songkla University,830
National Taipei University of Technology,830
Chuo University,830
VSB - Technical University of Ostrava,834
Saitama Medical University,834
Rio de Janeiro State University (UERJ),834
University of Nairobi,834
Gifu University,834
Alexandru Ioan Cuza University,834
"Adam Mickiewicz University, Poznań",834
University of Marrakech Cadi Ayyad,841
London South Bank University,841
Tokyo University of Marine Science and Technology,843
Tokai University,843
"University of Agriculture, Faisalabad",843
Tomas Bata University in Zlín,846
Shahid Beheshti University,846
University of the Philippines,846
National Chengchi University,846
Czech University of Life Sciences Prague (CULS),846
Taras Shevchenko National University of Kyiv,851
Cairo University,851
Belarusian State University,853
University of West Bohemia,854
University of Silesia in Katowice,854
University of Ibadan,856
Gunma University,856
Chungnam National University,856
Pontifical Catholic University of Paraná,859
Wuhan University of Technology,860
University of Jordan,860
University of Costa Rica,860
Osmania University,863
I-Shou University,863
Simón Bolívar University,865
Showa University,865
Pontifical Catholic University of Valparaíso,865
China University of Mining and Technology,865
Bahauddin Zakariya University,865
Yamaguchi University,870
Xidian University,870
Slovak University of Technology in Bratislava,870
Shizuoka University,870
Shaanxi Normal University,870
Lobachevsky State University of Nizhni Novgorod,870
Acharya Nagarjuna University,870
Yıldız Technical University,877
South Valley University,877
University of Pardubice,877
Nanjing Tech University,877
Kyushu Institute of Technology (Kyutech),877
Tottori University,882
Fu Jen Catholic University,883
University of Talca,884
Riga Technical University,884
National Research University of Electronic Technology (MIET),884
University of Indonesia,884
Sofia University,888
Nicolaus Copernicus University in Toruń,888
Jiangsu University,888
Ferdowsi University of Mashhad,888
Meiji University,892
University of South Africa,893
Federal University of São Carlos,893
Ural Federal University,895
Mohammed V University of Rabat,895
Sophia University,897
Southern Federal University,898
RUDN University,898
Samara State Aerospace University,900
Mansoura University,900
Federal University of Ceará (UFC),900
Cochin University of Science and Technology,900
Andhra University,900
Shimane University,905
"University of Santiago, Chile (USACH)",905
Kansai University,905
Hashemite University,905
University of Tlemcen,909
Amrita Vishwa Vidyapeetham,910
Universiti Utara Malaysia,911
Federal University of Rio Grande do Norte (UFRN),911
University of Bucharest,911
Autonomous University of Yucatán,914
Iwate University,914
V.N. Karazin Kharkiv National University,916
Oita University,916
Federal University of Pernambuco,916
Ain Shams University,916
Southwest Jiaotong University,920
Maharaja Sayajirao University of Baroda,921
University of Łódź,922
"University of the Andes, Venezuela",922
Federal University of Goiás,924
Embry-Riddle Aeronautical University,924
Bandung Institute of Technology (ITB),924
Ritsumeikan University,927
University of Tunis El Manar,928
Tamkang University,928
Federal University of Viçosa,928
University of Monastir,931
Kasetsart University,931
Novosibirsk State Technical University,933
University of Electronic Science and Technology of China,933
Hallym University,935
Sechenov University,936
Islamic Azad University Karaj,937
Federal University of Bahia,937
Gazi University,939
Fluminense Federal University,939
Tokyo City University,941
University of Colombo,942
Anadolu University,942
Universiti Teknologi MARA,944
Utsunomiya University,945
Technical University of Liberec,945
National University of the South,945
University of Lahore,945
Manipal Academy of Higher Education,949
Londrina State University,949
Kaunas University of Technology,949
Hosei University,949
Ankara University,949
SASTRA University,954
Autonomous University of Puebla,954
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,956
University of Karachi,957
Siberian Federal University,958
Federal University of Ouro Preto,958
Amity University,958
Federal University of Santa Maria,961
Chiba Institute of Technology,962
Sidi Mohamed Ben Abdellah University,963
Shibaura Institute of Technology Tokyo,963
VIT University,965
State University of Maringá,965
Ming Chuan University,965
Autonomous University of the State of Mexico,965
Kwansei Gakuin University,969
Doshisha University,970
Voronezh State University,971
Marmara University,971
Autonomous University of Nuevo León,971
SRM Institute of Science and Technology,974
University of Zanjan,975
Ivane Javakhishvili Tbilisi State University,975
Lviv Polytechnic National University,977
University of Guadalajara,978
Sathyabama Institute of Science and Technology,979
Tokyo Denki University,980
