author_name,ratings,papers_accepted,papers_rejected,papers_submitted,gender,return_2021,first_author,last_author,first_time_author,gender_of_last_author
Jakob Uszkoreit,"[[8, 6, 8]]",1,0,1,m,1,0,1,0,m
Nikita Kitaev,"[[8, 6, 8], [6, 6, 6]]",2,0,2,f,0,1,0,0,m
Anselm Levskaya,"[[8, 6, 8]]",1,0,1,m,0,0,1,1,m
Chieh-Hsin Lai,"[[8, 6, 8]]",1,0,1,m,1,1,0,1,m
Gilad Lerman,"[[8, 6, 8]]",1,0,1,m,1,0,1,0,m
Jindong Jiang*,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,f
Sungjin Ahn,"[[6, 6, 6], [6, 6, 6, 3], [3, 3, 3], [3, 6, 3, 3], [6, 1, 3]]",2,3,5,f,1,0,1,0,f
Marco Federici,"[[8, 6, 8]]",1,0,1,m,0,1,0,1,f
Zeynep Akata,"[[8, 6, 8]]",1,0,1,f,1,0,1,0,f
Tianyu Pang*,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Dávid Terjék,"[[6, 6, 6], [6, 6, 6]]",2,0,2,m,0,1,1,1,m
Chulhee Yun,"[[6, 6, 6], [1, 3, 3]]",1,1,2,m,1,1,0,0,m
Jun-Kun Wang,"[[3, 6, 6], [3, 3, 3], [3, 1, 1]]",1,2,3,m,1,1,0,0,m
Jacob Abernethy,"[[3, 6, 6], [6, 6, 6]]",1,1,2,m,1,1,1,0,m
Jianyu Wang,"[[6, 6, 6]]",1,0,1,m,1,1,0,0,m
Michael Rabbat,"[[6, 6, 6]]",1,0,1,m,1,0,1,1,m
Yucen Luo,"[[8, 8, 6], [3, 3, 6]]",1,1,2,f,0,1,0,1,m
Ricky T. Q. Chen,"[[8, 8, 6]]",1,0,1,m,1,0,1,0,m
Yaofeng Desmond Zhong,"[[8, 6, 8]]",1,0,1,m,0,1,0,1,m
Amit Chakraborty,"[[8, 6, 8]]",1,0,1,m,1,0,1,1,m
Chris Reinke,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Pierre-Yves Oudeyer,"[[8, 6, 6]]",1,0,1,m,1,0,1,0,m
Xiang Li,"[[8, 8, 6]]",1,0,1,m,1,1,0,0,m
Zhihua Zhang,"[[8, 8, 6], [3, 8, 1], [3, 3, 3, 6, 1], [3, 8, 6]]",1,3,4,m,1,0,1,0,m
Arthur Jacot,"[[3, 6, 8]]",1,0,1,m,0,1,0,1,m
Clement Hongler,"[[3, 6, 8]]",1,0,1,m,0,0,1,1,m
Qian Lou,"[[6, 3, 8, 6]]",1,0,1,m,1,1,0,1,m
Lei Jiang.,"[[6, 3, 8, 6]]",1,0,1,m,0,0,1,1,m
Yuping Luo,"[[6, 6, 6], [6, 3, 3], [3, 3, 6]]",1,2,3,m,1,1,0,0,f
Tsung-Yen Yang,"[[6, 6, 6]]",1,0,1,f,1,1,0,1,m
Peter J. Ramadge,"[[6, 6, 6], [6, 6, 6]]",1,1,2,m,0,0,1,1,m
Baichuan Yuan,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,f
Hongxia Yang,"[[6, 8, 6], [3, 6, 3], [3, 8, 6], [3, 3]]",1,3,4,f,1,0,1,1,f
Daniel Faissol,"[[8, 8, 3]]",1,0,1,m,0,0,1,1,m
Nathan Inkawhich,"[[3, 8, 8]]",1,0,1,m,0,1,0,0,m
Yiran Chen,"[[3, 8, 8]]",1,0,1,m,1,0,1,0,m
Vassilis N. Ioannidis,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Georgios B. Giannakis,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Yuyu Zhang,"[[3, 3, 1]]",1,0,1,m,0,1,0,1,m
Bingyi Kang,"[[6, 8, 6], [3, 3, 6], [8, 1, 3]]",1,2,3,m,1,1,0,0,m
Yannis Kalantidis,"[[6, 8, 6], [3, 6, 6]]",1,1,2,m,0,0,1,1,m
Satrajit Chatterjee,"[[8, 8, 3], [8, 8, 3]]",2,0,2,m,1,1,1,1,m
Felix Hill,"[[6, 6, 6], [3, 8, 6], [3, 3, 6]]",1,2,3,m,1,1,1,0,m
Adam Santoro,"[[6, 6, 6]]",1,0,1,m,1,0,1,0,m
Yuanpeng Li,"[[3, 6, 8]]",1,0,1,m,1,1,0,1,m
Mohamed Elhoseiny,"[[3, 6, 8], [3, 3, 3]]",1,1,2,m,1,0,1,0,m
Oran Gafni,"[[6, 6, 6]]",1,0,1,m,0,1,0,0,m
Yaniv Taigman,"[[6, 6, 6]]",1,0,1,m,0,0,1,0,m
Xinyun Chen,"[[6, 6, 3], [8, 6, 6]]",2,0,2,m,1,1,0,0,m
Rong Zhu,"[[6, 3, 6]]",1,0,1,m,1,1,0,1,m
Jingren Zhou,"[[6, 3, 6], [3, 8, 6]]",1,1,2,m,1,0,1,1,m
Divam Gupta,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Muthian Sivathanu,"[[6, 6, 6], [6, 3]]",1,1,2,m,1,0,1,1,m
Xuan-Phi Nguyen,"[[8, 6, 6], [6, 3, 8]]",1,1,2,m,0,1,0,1,m
Richard Socher,"[[8, 6, 6], [1, 8, 3], [6, 3, 3], [1, 1, 1], [3, 3, 3], [3, 3, 1], [3, 6, 3], [1, 3, 3]]",1,7,8,m,0,0,1,0,m
Kailun Wu,"[[8, 8, 8]]",1,0,1,m,0,1,0,1,m
Changshui Zhang,"[[8, 8, 8], [3, 3, 8]]",1,1,2,m,1,0,1,0,m
Namhoon Lee,"[[8, 3, 6]]",1,0,1,m,1,1,0,0,m
Philip H. S. Torr,"[[8, 3, 6], [3, 6, 3, 8], [1, 6, 6], [3, 3, 3]]",1,3,4,m,0,0,1,0,m
Mary Phuong,"[[3, 8, 6]]",1,0,1,f,1,1,0,0,m
Christoph H. Lampert,"[[3, 8, 6]]",1,0,1,m,0,0,1,0,m
Alvin Chan,"[[6, 3, 6], [3, 3, 3], [3, 6, 6], [3, 3, 1]]",1,3,4,m,1,1,0,1,m
Jie Fu,"[[6, 3, 6], [3, 3, 6]]",1,1,2,m,1,1,1,0,m
Arantxa Casanova,"[[6, 6]]",1,0,1,f,1,1,0,0,m
Christopher J. Pal,"[[6, 6], [6, 3, 8], [3, 3, 3]]",2,1,3,m,0,0,1,0,m
Dexter R.R. Scobee,"[[3, 6, 6, 8]]",1,0,1,m,0,1,0,1,m
S. Shankar Sastry,"[[3, 6, 6, 8]]",1,0,1,m,0,0,1,0,m
Rui Shu,"[[8, 8, 3], [6, 6, 8]]",2,0,2,m,1,1,0,0,m
Ben Poole,"[[8, 8, 3], [3, 6, 3], [3, 3, 8]]",1,2,3,m,1,0,1,0,m
Alix Lhéritier,"[[8, 6, 6, 3], [8, 6, 6, 3]]",2,0,2,m,0,1,1,1,m
Yao-Hung Hubert Tsai,"[[3, 6, 8]]",1,0,1,m,1,1,0,0,m
Yonglong Tian,"[[3, 6, 6], [3, 6, 6], [1, 6, 6, 1]]",1,2,3,m,1,1,0,0,m
Melih Elibol,"[[6, 3, 8]]",1,0,1,m,0,1,0,1,m
Michael I. Jordan,"[[6, 3, 8], [3, 3, 6], [3, 1, 1], [1, 3, 6]]",1,3,4,m,0,0,1,0,m
Yingzhen Yang,"[[8, 6, 6], [3, 6, 3], [3, 6, 3]]",1,2,3,m,0,1,1,0,m
Thomas S. Huang,"[[8, 6, 6], [1, 1, 1]]",1,1,2,m,0,0,1,0,m
Xinshi Chen,"[[8, 6, 8, 8]]",1,0,1,f,1,1,0,0,m
Cheolhyoung Lee,"[[6, 6, 8]]",1,0,1,m,0,1,0,0,m
Wanmo Kang,"[[6, 6, 8]]",1,0,1,m,0,0,1,0,m
Sungik Choi,"[[6, 6, 6]]",1,0,1,m,0,1,0,0,m
Tristan Sylvain,"[[6, 8, 6]]",1,0,1,m,0,1,0,0,m
Devon Hjelm,"[[6, 8, 6]]",1,0,1,m,0,0,1,0,m
Nir Levine,"[[6, 6, 8]]",1,0,1,m,1,1,0,1,m
Hung Bui,"[[6, 6, 8]]",1,0,1,m,1,0,1,0,m
Hongyi Wang,"[[8, 8, 6]]",1,0,1,m,0,1,0,1,f
Yasaman Khazaeni,"[[8, 8, 6]]",1,0,1,f,0,0,1,0,f
Wei Yu,"[[6, 6, 3]]",1,0,1,m,1,1,0,1,m
Lukas Prantl,"[[6, 8, 6], [8, 6, 6]]",2,0,2,m,1,1,0,0,m
Nils Thuerey,"[[6, 8, 6], [8, 6, 6], [3, 3, 6], [6, 3, 3], [1, 3], [6, 3, 8], [3, 3, 3]]",2,5,7,m,1,0,1,0,m
Ethan Dyer,"[[6, 6, 8]]",1,0,1,m,1,1,0,0,m
Guy Gur-Ari,"[[6, 6, 8], [3, 1, 3]]",1,1,2,m,1,0,1,0,m
Yixuan Qiu,"[[6, 8, 8]]",1,0,1,m,0,1,0,1,m
Yangchen Pan,"[[6, 6, 6], [6, 3, 8], [1, 3, 6]]",2,1,3,m,1,1,0,1,m
Amir-massoud Farahmand,"[[6, 6, 6], [1, 3, 6]]",1,1,2,m,1,0,1,0,m
Yilun Du,"[[8, 8, 6], [1, 3, 1], [3, 6, 6]]",1,2,3,m,1,1,0,0,m
Alexander Rives,"[[8, 8, 6]]",1,0,1,m,1,0,1,1,m
Yiheng Zhou,"[[6, 3, 6]]",1,0,1,m,0,1,0,1,f
Zhou Yu,"[[6, 3, 6], [1, 1, 3], [1, 3, 8]]",1,2,3,f,1,0,1,0,f
Tanmay Shankar,"[[3, 8, 6]]",1,0,1,m,0,1,0,1,m
Junjie LIU,"[[6, 3, 6]]",1,0,1,m,0,1,0,1,m
Hayden K.H. So,"[[6, 3, 6]]",1,0,1,m,0,0,1,1,m
Victor Zhong,"[[6, 6, 6]]",1,0,1,m,0,1,0,0,m
Edward Grefenstette,"[[6, 6, 6], [3, 3, 3], [3, 3, 6]]",1,2,3,m,1,1,1,0,m
Shengyu Zhu,"[[8, 8, 8]]",1,0,1,m,1,1,0,1,m
Zhitang Chen,"[[8, 8, 8], [1, 1, 6]]",1,1,2,m,1,0,1,0,m
Jatin Chauhan,"[[6, 3, 6]]",1,0,1,u,0,1,0,1,u
Manohar Kaul,"[[6, 3, 6]]",1,0,1,u,1,0,1,1,u
Antoine Plumerault,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,f
Céline Hudelot,"[[6, 6, 8], [3, 3, 3]]",1,1,2,f,0,0,1,1,f
Tong Wu,"[[8, 8, 3]]",1,0,1,m,0,1,0,1,m
Yevgeniy Vorobeychik,"[[8, 8, 3]]",1,0,1,m,1,0,1,0,m
Soochan Lee,"[[6, 6, 8]]",1,0,1,m,0,1,0,0,m
James Townsend,"[[8, 6, 6]]",1,0,1,m,0,1,0,0,m
David Barber,"[[8, 6, 6], [3, 1, 3], [1, 3, 6]]",1,2,3,m,1,0,1,0,m
Steven Cao,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Dan Klein,"[[6, 6, 6]]",1,0,1,m,0,0,1,0,m
Emmanouil Antonios Platanios,"[[6, 6, 6], [6, 6, 6]]",1,1,2,m,1,1,0,1,m
Tom Mitchell,"[[6, 6, 6], [6, 6, 6]]",1,1,2,m,0,0,1,1,m
H. Francis Song,"[[6, 6, 6]]",1,0,1,m,0,1,0,0,m
Matthew M. Botvinick,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Matthias Fey,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Nils M. Kriege,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Bhuwan Dhingra,"[[8, 8, 8]]",1,0,1,m,0,1,0,0,m
Christian Rupprecht,"[[6, 3, 8]]",1,0,1,m,1,1,0,0,m
Cihang Xie,"[[6, 8, 6]]",1,0,1,m,0,1,0,0,m
Alan Yuille,"[[6, 8, 6]]",1,0,1,m,1,0,1,0,m
Cecilia Summers,"[[6, 3, 6]]",1,0,1,f,1,1,0,0,m
Michael J. Dinneen,"[[6, 3, 6]]",1,0,1,m,1,0,1,0,m
Abhishek Panigrahi,"[[8, 6]]",1,0,1,m,0,1,0,0,m
Navin Goyal,"[[8, 6]]",1,0,1,m,1,0,1,0,m
Marin Vlastelica Pogančić,"[[8, 8, 8]]",1,0,1,m,1,1,0,1,m
Michal Rolinek,"[[8, 8, 8]]",1,0,1,m,1,0,1,1,m
Gil Lederman,"[[3, 8, 6]]",1,0,1,m,0,1,0,0,m
Edward A. Lee,"[[3, 8, 6]]",1,0,1,m,0,0,1,0,m
da Xu,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
kannan achan,"[[8, 6, 6]]",1,0,1,m,0,0,1,1,m
Gengchen Mai,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Ni Lao,"[[8, 6, 6]]",1,0,1,m,0,0,1,0,m
Jun Li,"[[3, 6, 6]]",1,0,1,m,1,1,0,0,m
Sinisa Todorovic,"[[3, 6, 6], [1, 1, 3]]",1,1,2,m,0,0,1,1,m
Ruicheng Xian,"[[6, 8]]",1,0,1,m,0,0,1,1,m
Danijar Hafner,"[[6, 8, 6, 8]]",1,0,1,m,1,1,0,0,m
Mohammad Norouzi,"[[6, 8, 6, 8], [3, 3, 3], [6, 1, 3]]",1,2,3,m,1,0,1,0,m
Hyeong-Seok Choi,"[[8, 6, 3]]",1,0,1,m,0,1,0,0,m
Kyogu Lee,"[[8, 6, 3]]",1,0,1,m,0,0,1,0,m
Quoc V. Le,"[[8, 6, 6], [3, 3, 3], [8, 3, 3]]",1,2,3,m,0,0,1,0,m
Whiyoung Jung,"[[6, 8, 3], [3, 3, 6]]",1,1,2,m,1,1,0,0,m
Youngchul Sung,"[[6, 8, 3], [3, 3, 6]]",1,1,2,m,1,0,1,0,m
Duo Wang,"[[6, 3, 6]]",1,0,1,m,1,1,0,1,m
Pietro Lio,"[[6, 3, 6], [3, 3, 3], [3, 6, 1]]",1,2,3,m,0,0,1,1,m
James Clift,"[[3, 3, 8]]",1,0,1,m,1,1,0,1,m
James Wallbridge,"[[3, 3, 8]]",1,0,1,m,1,0,1,1,m
Sungryull Sohn,"[[6, 6, 6]]",1,0,1,m,1,1,0,0,f
Duygu Ataman,"[[6, 6, 8]]",1,0,1,f,0,1,0,1,f
Alexandra Birch,"[[6, 6, 8]]",1,0,1,f,0,0,1,1,f
Yixiao Ge,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,m
Hongsheng Li,"[[6, 6, 8]]",1,0,1,m,1,0,1,1,m
Hao Zhang,"[[6, 3, 8], [3, 6, 1], [3, 1, 6]]",1,2,3,m,1,1,0,0,f
Tsui-Wei Weng,"[[6, 6, 3]]",1,0,1,f,1,1,0,1,m
Jack Turner,"[[6, 3, 6]]",1,0,1,m,1,1,0,1,m
Gavin Gray,"[[6, 3, 6]]",1,0,1,m,0,0,1,1,m
Najam Zaidi,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Gholamreza Haffari,"[[8, 6, 6], [1, 1, 1]]",1,1,2,m,0,0,1,1,m
Zhan Shi,"[[6, 8, 3], [6, 3, 6]]",1,1,2,m,1,1,0,1,m
Milad Hashemi,"[[6, 8, 3], [3, 3, 1]]",1,1,2,m,1,0,1,1,m
Yao Qin,"[[6, 8, 6], [3, 3, 3]]",1,1,2,f,1,1,0,0,m
Geoffrey Hinton,"[[6, 8, 6], [3, 3, 3]]",1,1,2,m,1,0,1,0,m
Ellen D. Zhong,"[[8, 8, 6]]",1,0,1,f,0,1,0,1,f
Bonnie Berger,"[[8, 8, 6]]",1,0,1,f,1,0,1,0,f
Jiahao Su,"[[6, 6, 6], [3, 3, 3]]",1,1,2,m,0,1,0,0,f
Furong Huang,"[[6, 6, 6], [6, 3, 3], [3, 3, 3], [3, 1, 3]]",1,3,4,f,1,0,1,0,f
Yuanhao Wang*,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Benjamin Ummenhofer,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Vipul Gupta,"[[6, 6, 3]]",1,0,1,m,0,1,0,1,m
Dennis DeCoste,"[[6, 6, 3]]",1,0,1,m,0,0,1,1,m
Xinyu Zhang,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Zhao Zhong,"[[6, 6, 6], [6, 3, 3], [3, 3, 6]]",1,2,3,m,1,0,1,1,m
Alexey Dosovitskiy,"[[6, 6, 6], [8, 3, 6], [6, 1, 3]]",1,2,3,m,1,1,0,0,m
Josip Djolonga,"[[6, 6, 6], [8, 3, 6]]",1,1,2,m,0,0,1,1,m
Zhoutong Zhang,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
William T. Freeman,"[[6, 6, 6]]",1,0,1,m,1,0,1,0,m
Chandra Bhagavatula,"[[8, 6, 6], [6, 6, 6]]",1,1,2,m,1,1,0,1,m
Huanrui Yang,"[[6, 6, 6], [3, 1]]",1,1,2,m,1,1,0,0,f
Hai Li,"[[6, 6, 6], [3, 3, 3], [3, 1]]",1,2,3,f,1,0,1,0,f
Sachin Mehta,"[[6, 6, 3]]",1,0,1,m,1,1,0,1,f
Hannaneh Hajishirzi,"[[6, 6, 3], [6, 3, 3]]",1,1,2,f,1,0,1,0,f
Adrià Puigdomènech Badia,"[[6, 8, 6], [8, 6]]",2,0,2,m,0,1,0,1,m
Yu Bai,"[[6, 6, 6]]",1,0,1,m,1,1,0,0,m
Jason D. Lee,"[[6, 6, 6], [3, 6, 3], [3, 3, 3]]",1,2,3,m,1,0,1,0,m
Jingzhao Zhang,"[[8, 8, 8], [3, 6, 6], [3, 3, 3]]",1,2,3,m,1,1,0,1,m
Ali Jadbabaie,"[[8, 8, 8]]",1,0,1,m,1,0,1,0,m
Kalpesh Krishna,"[[8, 6, 8]]",1,0,1,m,0,1,0,1,m
Mohit Iyyer,"[[8, 6, 8]]",1,0,1,m,0,0,1,0,m
Chenhui Deng,"[[6, 8, 8]]",1,0,1,m,0,1,0,1,m
Zhuo Feng,"[[6, 8, 8], [1, 3, 6]]",1,1,2,m,1,0,1,1,m
Xueliang Zhao,"[[6, 8, 8]]",1,0,1,m,0,1,0,1,m
Rui Yan,"[[6, 8, 8], [3, 3, 6]]",1,1,2,m,0,0,1,0,m
Ye Yuan,"[[6, 6, 8], [3, 3, 8], [3, 6, 1]]",1,2,3,m,0,1,1,0,m
Kris M. Kitani,"[[6, 6, 8]]",1,0,1,m,1,0,1,0,m
Qingfeng Lan,"[[6, 3, 8]]",1,0,1,u,0,1,0,1,f
Martha White,"[[6, 3, 8], [6, 6, 3], [1, 3, 6]]",2,1,3,f,1,0,1,0,f
Anton Sinitsin,"[[6, 3, 8]]",1,0,1,m,0,1,0,1,m
Tianyu Pang,"[[6, 6, 8, 6], [1, 3, 1]]",1,1,2,m,1,1,0,0,m
Raza Habib,"[[6, 8, 6], [3, 1, 3]]",1,1,2,m,0,1,1,0,m
Tom Bagby,"[[6, 8, 6], [6, 6, 3]]",1,1,2,m,0,0,1,1,m
Sanchari Sen,"[[6, 6, 1]]",1,0,1,f,1,1,0,1,m
Anand Raghunathan,"[[6, 6, 1]]",1,0,1,m,1,0,1,0,m
Somjit Nath,"[[6, 6, 3]]",1,0,1,m,0,1,0,0,m
Andrea Banino,"[[8, 6]]",1,0,1,m,0,1,0,0,m
Po-Wei Wang,"[[3, 6, 6]]",1,0,1,m,0,1,0,0,m
Siddhant M. Jayakumar,"[[8, 6, 6]]",1,0,1,m,0,1,0,0,m
Razvan Pascanu,"[[8, 6, 6], [3, 6, 6], [1, 3, 3], [6, 3, 3]]",2,2,4,m,1,0,1,0,m
Drew Linsley*,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Jeffrey Pennington,"[[6, 8, 3], [3, 8, 1], [3, 3, 3], [8, 3, 6]]",1,3,4,m,1,0,1,0,m
Soheil Kolouri,"[[8, 6]]",1,0,1,m,1,1,0,0,m
Praveen K. Pilly,"[[8, 6]]",1,0,1,m,0,0,1,1,m
Jiexiong Tang,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Rares Ambrus,"[[6, 8, 6]]",1,0,1,m,0,0,1,1,m
Alexei Baevski,"[[8, 8, 6, 8]]",1,0,1,m,1,1,0,0,m
Federico Errica,"[[8, 6, 6], [3, 3, 1]]",1,1,2,m,0,1,0,1,m
Alessio Micheli,"[[8, 6, 6]]",1,0,1,m,0,0,1,1,m
Xisen Jin,"[[6, 8, 6]]",1,0,1,m,1,1,0,1,m
Jinlong Liu,"[[6, 6, 3]]",1,0,1,m,0,1,0,1,m
Huayan Wang,"[[6, 6, 3]]",1,0,1,m,0,0,1,1,m
Rohan Chitnis,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Carlo D'Eramo,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Jan Peters,"[[6, 6, 6], [1, 1], [6, 6, 3]]",1,2,3,m,1,0,1,0,m
Lucas Liebenwein,"[[3, 6, 3]]",1,0,1,m,0,1,0,0,u
Yuhang Li,"[[6, 3, 6]]",1,0,1,u,1,1,0,1,m
Dongqi Han,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Jun Tani,"[[6, 8, 6]]",1,0,1,m,0,0,1,1,m
Lasse Espeholt,"[[8, 6, 8]]",1,0,1,m,0,1,0,1,m
Marcin Michalski‎,"[[8, 6, 8]]",1,0,1,m,0,0,1,1,m
Xiao Ma,"[[8, 6, 8], [3, 6, 3]]",1,1,2,f,0,1,0,1,m
Nan Ye,"[[8, 6, 8]]",1,0,1,m,0,0,1,1,m
Ali Borji,"[[3, 8, 6, 6]]",1,0,1,m,0,1,0,0,f
Sikun Lin,"[[3, 8, 6, 6]]",1,0,1,f,0,0,1,1,f
Sam Lobel*,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Lawrence Carin,"[[8, 6, 6], [6, 3, 3], [3, 1, 3]]",1,2,3,m,1,0,1,0,m
Dongxian Wu,"[[8, 6, 6]]",1,0,1,m,0,1,0,1,m
Xingjun Ma,"[[8, 6, 6], [6, 6, 8]]",2,0,2,m,1,0,1,0,m
Hangfeng He,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,f
Iris A.M. Huijben,"[[6, 6, 6]]",1,0,1,f,1,1,0,1,m
Ruud J.G. van Sloun,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Hengyuan Hu,"[[8, 8, 8]]",1,0,1,m,1,1,0,0,m
Jakob N Foerster,"[[8, 8, 8]]",1,0,1,m,0,0,1,1,m
Uyeong Jang,"[[8, 6, 3], [3, 3, 3]]",1,1,2,m,0,1,0,0,m
Somesh Jha,"[[8, 6, 3], [3, 3, 3]]",1,1,2,m,1,0,1,0,m
Michalis K. Titsias,"[[3, 6, 6]]",1,0,1,m,0,1,0,1,m
Yee Whye Teh,"[[3, 6, 6], [3, 3, 3], [3, 6, 6]]",1,2,3,m,1,0,1,0,m
Chunyan Xu,"[[6, 6, 6]]",1,0,1,f,0,1,0,1,m
Wei Liu,"[[6, 6, 6], [3, 3, 3], [3, 1, 3]]",1,2,3,m,1,0,1,0,m
Joan Serrà,"[[6, 3, 3]]",1,0,1,m,0,1,0,0,m
Jordi Luque,"[[6, 3, 3]]",1,0,1,m,0,0,1,1,m
Dan Hendrycks*,"[[8, 8, 3]]",1,0,1,m,0,1,0,1,m
Balaji Lakshminarayanan,"[[8, 8, 3], [8, 3, 3], [3, 6, 6]]",1,2,3,m,1,0,1,0,m
Yuan Yang,"[[6, 8, 3]]",1,0,1,m,0,1,0,0,m
Ziyang Tang*,"[[8, 8, 6]]",1,0,1,m,0,1,0,1,m
Qiang Liu,"[[8, 8, 6], [3, 3, 6], [1, 6, 1], [6, 3, 6], [3, 3, 3], [1, 1, 3], [6, 8, 3]]",1,6,7,m,0,0,1,0,m
Huan Zhang,"[[6, 3, 8], [3, 3, 1], [3, 3, 3]]",1,2,3,m,1,1,0,0,m
Adam Gleave,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Stuart Russell,"[[6, 6, 6]]",1,0,1,m,1,0,1,0,m
Nitin Rathi,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Kaushik Roy,"[[6, 6, 6], [1, 3, 6], [6, 1, 1]]",1,2,3,m,1,0,1,0,m
Johannes Welbl,"[[8, 6, 6, 3], [6, 3, 6], [3, 6, 8, 1], [3, 3, 3]]",1,3,4,m,0,1,0,0,m
Boris N. Oreshkin,"[[6, 8, 6], [1, 6, 3]]",1,1,2,m,0,1,0,1,m
Yisen Wang,"[[6, 6, 8]]",1,0,1,m,1,1,0,0,m
Mingda Qiao,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Zhixuan Lin,"[[6, 6, 6, 3]]",1,0,1,m,0,1,0,1,m
Adam W. Harley,"[[6, 6, 6, 3], [3, 3, 3]]",1,1,2,m,0,1,0,1,f
Katerina Fragkiadaki,"[[6, 6, 6, 3], [3, 3, 3], [3, 6, 3]]",1,2,3,f,1,0,1,0,f
Gabriel Ryan,"[[3, 8]]",1,0,1,m,0,1,0,1,m
Suman Jana,"[[3, 8], [3, 1, 3]]",1,1,2,m,1,0,1,1,m
Kafeng Wang,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,m
Cheng-Zhong Xu,"[[6, 6, 8]]",1,0,1,m,0,0,1,1,m
Minhao Cheng,"[[6, 3], [3, 6, 3]]",1,1,2,m,1,1,0,0,m
Federico Baldassarre,"[[3, 6, 3]]",0,1,1,m,0,1,0,1,m
Hossein Azizpour,"[[3, 6, 3]]",0,1,1,m,0,0,1,0,m
Zeqian Li,"[[6, 6, 3]]",0,1,1,m,0,1,0,1,m
Jacob Whitehill,"[[6, 6, 3]]",0,1,1,m,0,0,1,1,m
Sanjeev Kumar Karn,"[[3, 3, 6]]",0,1,1,m,0,1,0,1,m
Hinrich Schütze,"[[3, 3, 6], [6, 3, 6]]",0,2,2,m,0,0,1,1,m
Ayush Jain*,"[[6, 6, 3]]",0,1,1,m,0,1,0,1,m
Andreas Kopf,"[[3, 6, 6]]",0,1,1,m,0,1,0,1,m
Manfred Claassen,"[[3, 6, 6]]",0,1,1,m,0,0,1,1,m
Ido Nachum,"[[3, 3]]",0,1,1,m,0,1,0,1,m
Amir Yehudayoff,"[[3, 3]]",0,1,1,m,0,0,1,1,m
Haoyu Liang,"[[6, 6, 3]]",0,1,1,m,0,1,0,1,m
Tan M. Nguyen,"[[3, 3, 6, 1]]",0,1,1,m,0,1,0,1,f
Anima Anandkumar,"[[3, 3, 6, 1], [6, 6, 8, 1], [1, 8, 8], [3, 3, 3]]",0,4,4,f,1,0,1,0,f
Zaccary Alperstein,"[[3, 6, 3]]",0,1,1,m,0,1,0,1,m
Jason Rolfe,"[[3, 6, 3]]",0,1,1,m,0,0,1,1,m
Damien Teney,"[[6, 3, 3]]",0,1,1,m,0,1,0,1,m
Anton van den Hengel,"[[6, 3, 3]]",0,1,1,m,0,0,1,0,m
Aditi Mavalankar,"[[3, 3, 3]]",0,1,1,f,0,1,0,1,m
Sicun Gao,"[[3, 3, 3]]",0,1,1,m,0,0,1,1,m
Shashank Singh,"[[3, 6, 6]]",0,1,1,m,0,1,0,1,m
Zohar Karnin,"[[3, 6, 6]]",0,1,1,m,1,0,1,1,m
Mher Safaryan,"[[6, 3, 3]]",0,1,1,m,0,1,0,1,m
Peter Richtárik,"[[6, 3, 3], [3, 3, 1]]",0,2,2,m,0,0,1,0,m
Brian R. Bartoldson,"[[3, 1, 1]]",0,1,1,m,0,1,0,1,m
Gordon Erlebacher,"[[3, 1, 1]]",0,1,1,m,0,0,1,1,m
Cheng-Yu Hsieh,"[[6, 3]]",0,1,1,m,1,1,0,1,m
Abhishek Gupta,"[[3, 1, 3], [3, 6, 3], [6, 3, 6], [3, 3, 3, 6], [1, 3, 3]]",0,5,5,m,1,1,0,0,m
